Name,Brand,Category,Link,Made In,Notes
Titanium Plate,Snow Peak,Tableware,https://amzn.to/4dx5wEz,Japan,"Shatterproof and lightweight titanium plate for toddlers, picnics, camping, or anywhere else."
"Instant Tea, Herbal, Caffeine-Free",Pique,Drinks,https://amzn.to/3Foamre,USA,"Third-party screened for pesticides, toxic mold (mycotoxins), and heavy metals."
"Instant Tea, Black, Caffeinated",Pique,Drinks,https://amzn.to/4jhyd9M,USA,"Third-party screened for pesticides, toxic mold (mycotoxins), and heavy metals."
Stainless Steel Mason Jar Lids,Ball,Storage & Organization,https://amzn.to/3F9d04a,China,One-piece stainless steel lids for mason jars. Regular Mouth and Wide Mouth sizes. Dishwasher safe!
Mason Jars,Ball,Storage & Organization,https://amzn.to/4kcM2I7,USA,Glass jars with measurement markings. Available in many sizes and in Regular Mouth or Wide Mouth.
Stainless Steel and Silicone Food Storage Containers,U Konserve,Storage & Organization,https://amzn.to/3ZzYuJt,China,"Containers are 18/8 stainless steel. Lid is platinum-grade silicone (LFGB—no fillers). Free of BPA, BPS, phthalates and lead!"
"Glass Jars, Airtight, for Canning and Food Storage",Luigi Bormioli,Storage & Organization,https://amzn.to/43ztURH,Italy,Glass jar with detachable glass lid. Natural rubber seal and removable stainless steel clamp. Dishwasher safe. Microwave safe without the clamp.
Tallow Lip Balm,Vintage Tradition,Personal Care,https://amzn.to/4dplccX,USA,"They render their own tallow, which helps ensure purity and reduced processing additives. The tube is paper, not plastic!"
Tallow Skincare,Bello Tallow,Personal Care,https://www.bellotallow.com,USA,Tallow rendered from American Grassfed Association Certified suet. Finished products are tested to be PFAS-free!
Creatine Monohydrate (from Creapure),Momentous,Supplements,https://www.livemomentous.com/products/creatine-monohydrate,Germany,NSF Certified for Sport.
Creatine Monohydrate (from Creapure),Bare Performance Nutrition,Supplements,https://www.bareperformancenutrition.com/products/creatine-monohydrate,Germany,NSF Certified for Sport.
"Whey Isolate Protein Powder, Unflavored",TAHA Nutrition,Supplements,https://tahanutrition.com/collections/whey-protein-isolate/products/taha-natural-unflavored-whey-protein-isolate,,Certified glyphosate free. This brand's flavored versions contain monk fruit extract. 
Creatine Monohydrate (from Creapure),Centenarius Nutrition,Supplements,https://centenariusnutrition.com/products/creatine?variant=44378488504551,USA,
Vitamin D3 (2500IU),Puori,Supplements,https://puori.com/products/d3-vitamin-d-2500,USA,"All of Puori’s products are batch-tested for contaminants (heavy metals, BPA, glyphosate, label accuracy, etc)"
Collagen Peptides (Hydrolyzed Bovine Type 1 and 3),Puori,Supplements,https://puori.com/collections/proteins-collagen/products/cp1-pure-collagen-peptides,USA,"All of Puori’s products are batch-tested for contaminants (heavy metals, BPA, glyphosate, label accuracy, etc)"
"Collagen (Hydrolyzed Wild-Caught Marine Fish, Types 1, 2, 3, and 4)",Centenarius Nutrition,Supplements,https://centenariusnutrition.com/products/marine-collagen?variant=46405264015591,USA,
"Whey Concentrate Protein Powder, Vanilla",Puori,Supplements,https://puori.com/collections/muscle-strength/products/pw1-whey-protein-bourbon-vanilla?variant=43020536676445,Canada,"All of Puori’s products are batch-tested for contaminants (heavy metals, BPA, glyphosate, label accuracy, etc)"
"Whey Concentrate Protein Powder, Chocolate",Puori,Supplements,https://puori.com/products/pw1-whey-protein-dark-chocolate?variant=43020555812957,Canada,"All of Puori’s products are batch-tested for contaminants (heavy metals, BPA, glyphosate, label accuracy, etc)"
Vitamin K2 as MK-7,Healthy Origins,Supplements,https://healthyorigins.com/products/vitamin-k2-as-mk-7-100mcg,USA,K2 from natto. Menaquinone 7 has superior absorption.
Omega-3 Fish Oil,Carlson Labs,Supplements,https://carlsonlabs.com/maximum-omega-2000/,USA,Some fish oil supplements can be rancid. This one is lab tested for potency and freshness. 
Multipurpose Cleaner,Back to Basics,Cleaning,https://back-to-basics-llc.myshopify.com/products/back-to-basics-cleaner-than-clean,USA,Safe for skin too!
Non-stick Pan,Our Place,Cookware,https://amzn.to/4dwlPBL,,No coating! Non-stick properties come from pattern of the titanium cook surface.
"Matcha, Organic Ceremonial",Pique,Drinks,https://amzn.to/3YXTdeH,USA,"Third-party screened for pesticides, toxic mold (mycotoxins), and heavy metals. Sourced from Kagoshima, Japan."
